name,smiles,inchikey,connectivity
(+)-PULEGONE,C[C@@H]1CCC(=C(C)C)C(=O)C1,NZGWDASTMWDZIW-MRVPVSSYSA-N,NZGWDASTMWDZIW
(R)-BICALUTAMIDE,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,LKJPYSCBVHEWIU-KRWDZBQOSA-N,LKJPYSCBVHEWIU
"1,1-DICHLOROETHENE",C=C(Cl)Cl,LGXVIGDEPROXKC-UHFFFAOYSA-N,LGXVIGDEPROXKC
"1,2,3-TRICHLOROPROPANE",C(C(CCl)Cl)Cl,CFXQEHVMCRXUSD-UHFFFAOYSA-N,CFXQEHVMCRXUSD
"1,4-DICHLOROBENZENE",C1=CC(=CC=C1Cl)Cl,OCJBOOLMMGQPQU-UHFFFAOYSA-N,OCJBOOLMMGQPQU
1-NAPHTHYL ISOTHIOCYANATE,C1=CC=C2C(=C1)C=CC=C2N=C=S,JBDOSUUXMYMWQH-UHFFFAOYSA-N,JBDOSUUXMYMWQH
17-METHYLTESTOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,GCKMFJBGXUYNAG-HLXURNFRSA-N,GCKMFJBGXUYNAG
"2''-BETA-FLUORO-2'',3''-DEOXYADENOSINE",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)F)N,ZGYYPTJWJBEXBC-QYYRPYCUSA-N,ZGYYPTJWJBEXBC
"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,HGUFODBRKLSHSI-UHFFFAOYSA-N,HGUFODBRKLSHSI
"2,4-DIAMINOPHENOL",C1=CC(=C(C=C1N)N)O,XIWMTQIUUWJNRP-UHFFFAOYSA-N,XIWMTQIUUWJNRP
2-ACETYLAMINOFLUORENE,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,CZIHNRWJTSTCEX-UHFFFAOYSA-N,CZIHNRWJTSTCEX
2-AMINO-4-NITROPHENOL,C1=CC(=C(C=C1[N+](=O)[O-])N)O,VLZVIIYRNMWPSN-UHFFFAOYSA-N,VLZVIIYRNMWPSN
2-NITROANISOLE,COC1=CC=CC=C1[N+](=O)[O-],CFBYEGUGFPZCNF-UHFFFAOYSA-N,CFBYEGUGFPZCNF
"3,3'',4'',5-TETRACHLOROSALICYLANILIDE",C1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)Cl)Cl,SJQBHPJLLIJASD-UHFFFAOYSA-N,SJQBHPJLLIJASD
"3,3'',5-TRIIODO-L-THYRONINE",C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,AUYYCJSJGJYCDS
3-ACETAMIDOPHENOL,CC(=O)NC1=CC(=CC=C1)O,QLNWXBAGRTUKKI-UHFFFAOYSA-N,QLNWXBAGRTUKKI
3-CHLOROANILINE,C1=CC(=CC(=C1)Cl)N,PNPCRKVUWYDDST-UHFFFAOYSA-N,PNPCRKVUWYDDST
3-METHYLCHOLANTHRENE,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,PPQNQXQZIWHJRB-UHFFFAOYSA-N,PPQNQXQZIWHJRB
"4,4''-METHYLENEDIANILINE",C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,YBRVSVVVWCFQMG-UHFFFAOYSA-N,YBRVSVVVWCFQMG
4-CHLORO-2-NITROANILINE,C1=CC(=C(C=C1Cl)[N+](=O)[O-])N,PBGKNXWGYQPUJK-UHFFFAOYSA-N,PBGKNXWGYQPUJK
4-CHLOROANILINE,C1=CC(=CC=C1N)Cl,QSNSCYSYFYORTR-UHFFFAOYSA-N,QSNSCYSYFYORTR
4-METHYLPYRAZOLE,CC1=CNN=C1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,RIKMMFOAQPJVMX
