name,connectivity,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
(+)-PULEGONE,NZGWDASTMWDZIW,,,0,,,0,0,0,0,0,0,0
(R)-BICALUTAMIDE,LKJPYSCBVHEWIU,0,0,0,0,0,0,,1,0,0,1,0
"1,1-DICHLOROETHENE",LGXVIGDEPROXKC,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,3-TRICHLOROPROPANE",CFXQEHVMCRXUSD,0,0,0,0,1,0,0,0,0,0,0,0
"1,4-DICHLOROBENZENE",OCJBOOLMMGQPQU,0,0,0,0,0,0,0,0,0,0,0,0
17-METHYLTESTOSTERONE,GCKMFJBGXUYNAG,1,1,0,0,1,1,0,,0,0,0,1
"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",HGUFODBRKLSHSI,0,0,1,,0,0,0,1,0,0,,0
"2,4-DIAMINOPHENOL",XIWMTQIUUWJNRP,0,0,0,0,,0,0,0,0,0,1,0
2-ACETYLAMINOFLUORENE,CZIHNRWJTSTCEX,0,0,1,,1,0,0,1,1,0,1,0
2-AMINO-4-NITROPHENOL,VLZVIIYRNMWPSN,0,0,1,,0,0,0,1,0,0,1,0
2-NITROANISOLE,CFBYEGUGFPZCNF,0,0,0,0,0,0,0,0,0,0,0,0
"3,3'',4'',5-TETRACHLOROSALICYLANILIDE",SJQBHPJLLIJASD,0,,1,,,,,,0,1,1,1
"3,3'',5-TRIIODO-L-THYRONINE",AUYYCJSJGJYCDS,0,0,1,0,1,1,0,0,0,0,1,0
3-ACETAMIDOPHENOL,QLNWXBAGRTUKKI,0,0,0,0,0,0,0,0,0,0,0,0
3-CHLOROANILINE,PNPCRKVUWYDDST,0,0,0,0,0,0,0,0,0,0,0,0
3-METHYLCHOLANTHRENE,PPQNQXQZIWHJRB,0,0,1,,,,,1,0,,1,0
"4,4''-METHYLENEDIANILINE",YBRVSVVVWCFQMG,0,0,1,0,0,0,0,0,0,0,0,0
4-CHLORO-2-NITROANILINE,PBGKNXWGYQPUJK,0,0,,0,,0,0,0,0,0,1,0
4-CHLOROANILINE,QSNSCYSYFYORTR,0,0,1,0,0,0,,0,0,0,0,0
4-METHYLPYRAZOLE,RIKMMFOAQPJVMX,0,0,0,0,0,0,0,0,0,0,0,0
4-NITROBENZOIC ACID,OTLNPYWUJOZPPA,0,0,0,0,0,0,0,0,0,0,0,0
4-NITROTOLUENE,ZPTVNYMJQHSSEA,0,0,0,0,0,0,0,0,0,0,0,0
4-NONYLPHENOL,IGFHQQFPSIBGKE,0,0,0,,1,0,0,,0,0,,0
4-OCTYLPHENOL,NTDQQZYCCIDJRK,0,0,0,,1,0,0,,0,,1,0
5-FLUORO-2'-DEOXYURIDINE,ODKNJVUHOIMIIZ,,,0,0,0,0,,1,0,0,0,1
6-MERCAPTOPURINE,GLVAUDGFNGKCSF,0,0,1,,0,0,,1,0,0,0,1
ABAMECTIN,RRZXIRBKKLTSOM,0,0,0,0,0,0,,1,0,0,1,0
ACECLOFENAC,MNIPYSSQXLZQLJ,0,0,0,0,0,0,1,0,0,0,,0
ACEMETACIN,FSQKKOOTNAMONP,0,0,0,0,0,0,,0,0,0,,0
ACETAMINOPHEN,RZVAJINKPMORJF,0,0,0,0,0,0,0,0,0,0,0,0
ACETAZOLAMIDE,BZKPWHYZMXOIDC,0,0,0,0,0,0,0,0,0,0,0,0
ACETONE,CSCPPACGZOOCGX,0,0,0,0,0,0,0,0,0,0,,0
ACONITINE,XFSBVAOIAHNAPC,0,0,0,0,0,0,0,,0,,0,0
ACROLEIN,HGINCPLSRVDWNT,0,0,0,0,0,0,0,1,0,0,0,0
ACYCLOVIR,MKUXAQIIEYXACX,0,0,0,0,0,0,0,0,0,0,0,0
ALBENDAZOLE,HXHWSAZORRCQMX,0,,1,,1,0,0,0,1,1,1,1
ALENDRONIC ACID,OGSPWJRAVKPPFI,,,,,,,,0,,0,,
ALLOPURINOL,OFCNXPDARWKPPY,0,0,0,0,0,0,0,0,0,0,0,0
ALLYL ALCOHOL,XXROGKLTLUQVRX,0,0,0,0,0,0,0,0,0,0,0,0
ALPRAZOLAM,VREFGVBLTWBCJP,0,0,0,,,0,,,1,,0,0
ALTRETAMINE,UUVWYPNAQBNQJQ,0,0,0,0,0,0,0,0,0,0,0,0
