sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1392188,R030916-016_ORAL GAVAGE_CMC_3 d_Male_92992.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392189,R030916-017_ORAL GAVAGE_CMC_3 d_Male_92993.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392190,R030916-018_ORAL GAVAGE_CMC_3 d_Male_92994.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392191,S020506-018_ORAL GAVAGE_CMC_3 d_Male_94109.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392192,S020422-136_LORAZEPAM_2000 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94110.CEL,Lorazepam,2000 mg/kg,1 d,CMC,Liver,False,DIWRORZWFLOCLC,True,True,drugmatrix_liver
GSM1392193,S021028-047_CLOMIPHENE_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94111.CEL,Clomiphene,250 mg/kg,5 d,CMC,Liver,False,GKIRPKYJQBWNGO,True,True,drugmatrix_liver
GSM1392194,S020624-264_PANTOPRAZOLE_1100 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94112.CEL,Pantoprazole,1100 mg/kg,5 d,Water,Liver,False,IQPSEEYGBUAQFF,True,True,drugmatrix_liver
GSM1392195,S021021-208_MEGESTROL ACETATE_132 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94113.CEL,Megestrol Acetate,132 mg/kg,1 d,CMC,Liver,False,RQZAXGRLVPAYTJ,True,True,drugmatrix_liver
GSM1392196,S020513-258_OXFENDAZOLE_1500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94114.CEL,Oxfendazole,1500 mg/kg,1 d,CMC,Liver,False,BEZZFPOZAYTVHN,True,True,drugmatrix_liver
GSM1392197,S020617-359_OXYTETRACYCLINE_1500 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94115.CEL,Oxytetracycline,1500 mg/kg,5 d,Water,Liver,False,OWFJMIVZYSDULZ,True,False,drugmatrix_liver
GSM1392198,S020506-024_ORAL GAVAGE_CMC_5 d_Male_94116.CEL,,0 mg/kg,5 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392199,S020422-119_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94117.CEL,Estriol,313 mg/kg,5 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392200,S021007-161_PRIMIDONE_750 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94118.CEL,Primidone,750 mg/kg,1 d,CMC,Liver,False,DQMZLTXERSFNPB,True,True,drugmatrix_liver
GSM1392201,S020408-113_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94119.CEL,Cyproterone Acetate,2500 mg/kg,1 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392202,S020401-255_OXYMETAZOLINE_0.5 mg/kg_ORAL GAVAGE_WATER_0.25 d_Male_94120.CEL,Oxymetazoline,0.5 mg/kg,0.25 d,Water,Liver,False,WYWIFABBXFUGLM,True,True,drugmatrix_liver
GSM1392203,S020408-229_IDEBENONE_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94121.CEL,Idebenone,2500 mg/kg,0.25 d,CMC,Liver,False,JGPMMRGNQUBGND,True,True,drugmatrix_liver
GSM1392204,S020624-118_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94122.CEL,Anastrozole,400 mg/kg,5 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392205,S020408-086_CLONAZEPAM_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94123.CEL,Clonazepam,2500 mg/kg,0.25 d,CMC,Liver,False,DGBIGWXXNGSACT,True,False,drugmatrix_liver
GSM1392206,S020401-257_OXYMETAZOLINE_0.5 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94124.CEL,Oxymetazoline,0.5 mg/kg,1 d,Water,Liver,False,WYWIFABBXFUGLM,True,True,drugmatrix_liver
GSM1392207,S020513-116_AMINOGLUTETHIMIDE_350 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94125.CEL,Aminoglutethimide,350 mg/kg,3 d,CMC,Liver,False,ROBVIMPUHSLWNV,True,True,drugmatrix_liver
GSM1392208,S020408-116_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94126.CEL,Cyproterone Acetate,2500 mg/kg,3 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392209,S020624-117_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94127.CEL,Anastrozole,400 mg/kg,3 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392210,S021021-216_MEGESTROL ACETATE_132 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94128.CEL,Megestrol Acetate,132 mg/kg,5 d,CMC,Liver,False,RQZAXGRLVPAYTJ,True,True,drugmatrix_liver
GSM1392211,S021007-234_TROPISETRON_100 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94129.CEL,Tropisetron,100 mg/kg,1 d,CMC,Liver,False,ZNRGQMMCGHDTEI,True,True,drugmatrix_liver
GSM1392212,S020520-280_CARBIMAZOLE_400 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94130.CEL,Carbimazole,400 mg/kg,1 d,Water,Liver,False,CFOYWRHIYXMDOT,True,True,drugmatrix_liver
GSM1392213,S020617-178_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94131.CEL,Mestranol,250 mg/kg,5 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392214,S020624-114_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94132.CEL,Anastrozole,400 mg/kg,1 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392215,S020617-173_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94134.CEL,Mestranol,250 mg/kg,1 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392216,S020610-115_CLOSANTEL_22 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94135.CEL,Closantel,22 mg/kg,3 d,CMC,Liver,False,JMPFSEBWVLAJKM,True,True,drugmatrix_liver
GSM1392217,S020408-006_ORAL GAVAGE_CMC_.25 d_Male_94136.CEL,,0 mg/kg,0.25 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392218,S021007-307_RABEPRAZOLE_1024 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94137.CEL,Rabeprazole,1024 mg/kg,3 d,Water,Liver,False,YREYEVIYCVEVJK,True,True,drugmatrix_liver
GSM1392219,S020422-043_2-ACETYLAMINOFLUORENE_30 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94138.CEL,2-Acetylaminofluorene,30 mg/kg,3 d,CMC,Liver,False,CZIHNRWJTSTCEX,True,True,drugmatrix_liver
GSM1392220,S020513-090_PREDNISOLONE_184 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94139.CEL,Prednisolone,184 mg/kg,1 d,Water,Liver,False,OIGNJSKKLXVSLS,True,True,drugmatrix_liver
GSM1392221,S020429-259_17-METHYLTESTOSTERONE_2000 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94140.CEL,17-Methyltestosterone,2000 mg/kg,3 d,CMC,Liver,False,GCKMFJBGXUYNAG,True,True,drugmatrix_liver
GSM1392222,S020617-360_OXYTETRACYCLINE_1500 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94141.CEL,Oxytetracycline,1500 mg/kg,5 d,Water,Liver,False,OWFJMIVZYSDULZ,True,False,drugmatrix_liver
GSM1392223,S020513-117_AMINOGLUTETHIMIDE_350 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94142.CEL,Aminoglutethimide,350 mg/kg,3 d,CMC,Liver,False,ROBVIMPUHSLWNV,True,True,drugmatrix_liver
GSM1392224,S020422-137_LORAZEPAM_2000 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94143.CEL,Lorazepam,2000 mg/kg,1 d,CMC,Liver,False,DIWRORZWFLOCLC,True,True,drugmatrix_liver
GSM1392225,S020506-120_OLANZAPINE_23 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94144.CEL,Olanzapine,23 mg/kg,5 d,CMC,Liver,False,KVWDHTXUZHCGIO,True,True,drugmatrix_liver
GSM1392226,S020408-205_GLIPIZIDE_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94145.CEL,Glipizide,2500 mg/kg,0.25 d,CMC,Liver,False,ZJJXGWJIGJFDTL,True,True,drugmatrix_liver
GSM1392227,S021007-162_PRIMIDONE_750 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94146.CEL,Primidone,750 mg/kg,1 d,CMC,Liver,False,DQMZLTXERSFNPB,True,True,drugmatrix_liver
GSM1392228,S020429-262_17-METHYLTESTOSTERONE_2000 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94147.CEL,17-Methyltestosterone,2000 mg/kg,5 d,CMC,Liver,False,GCKMFJBGXUYNAG,True,True,drugmatrix_liver
GSM1392229,S020520-281_CARBIMAZOLE_400 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94148.CEL,Carbimazole,400 mg/kg,1 d,Water,Liver,False,CFOYWRHIYXMDOT,True,True,drugmatrix_liver
GSM1392230,S020617-179_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94149.CEL,Mestranol,250 mg/kg,5 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392231,S020408-114_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94150.CEL,Cyproterone Acetate,2500 mg/kg,1 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392232,S020617-119_DIAZEPAM_710 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94151.CEL,Diazepam,710 mg/kg,5 d,CMC,Liver,False,AAOVKJBEBIDNHE,True,True,drugmatrix_liver
GSM1392233,S020422-112_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94152.CEL,Estriol,313 mg/kg,1 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392234,S021021-184_FLUDROCORTISONE ACETATE_125 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94153.CEL,Fludrocortisone Acetate,125 mg/kg,1 d,CMC,Liver,False,SYWHXTATXSMDSB,True,False,drugmatrix_liver
GSM1392235,S020520-139_NITRAZEPAM_310 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94154.CEL,Nitrazepam,310 mg/kg,3 d,CMC,Liver,False,KJONHKAYOJNZEC,True,True,drugmatrix_liver
GSM1392236,S020408-117_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94155.CEL,Cyproterone Acetate,2500 mg/kg,3 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
