assay,n_active,prevalence,structure_only_AUC,structure_only_AUC_ci,structure_only_AUPRC,expr_only_AUC,expr_only_AUC_ci,expr_only_AUPRC,fusion_AUC,fusion_AUC_ci,fusion_AUPRC,dAUC_fusion_minus_struct,dAUC_ci,fusion_wins_frac
NR-AR,28,0.158,0.795,0.012,0.659,0.686,0.016,0.453,0.785,0.013,0.654,-0.01,0.013,0.5
NR-AR-LBD,25,0.141,0.899,0.004,0.771,0.738,0.013,0.341,0.881,0.006,0.695,-0.017,0.008,0.1
NR-AhR,30,0.169,0.819,0.015,0.615,0.673,0.016,0.378,0.813,0.014,0.633,-0.006,0.007,0.3
NR-Aromatase,25,0.141,0.76,0.021,0.514,0.594,0.022,0.348,0.733,0.013,0.523,-0.027,0.02,0.2
NR-ER,39,0.22,0.641,0.026,0.515,0.652,0.02,0.506,0.667,0.016,0.565,0.027,0.018,0.9
NR-ER-LBD,23,0.13,0.921,0.023,0.826,0.797,0.015,0.582,0.894,0.017,0.785,-0.028,0.01,0.1
NR-PPAR-gamma,12,0.068,0.764,0.03,0.399,0.727,0.03,0.362,0.812,0.023,0.459,0.048,0.027,0.9
SR-ARE,48,0.271,0.635,0.015,0.546,0.611,0.012,0.408,0.652,0.016,0.53,0.017,0.011,0.9
SR-ATAD5,14,0.079,0.829,0.071,0.508,0.656,0.022,0.145,0.834,0.046,0.523,0.005,0.031,0.4
SR-HSE,17,0.096,0.538,0.039,0.141,0.576,0.03,0.17,0.551,0.037,0.152,0.013,0.036,0.6
SR-MMP,34,0.192,0.778,0.024,0.527,0.737,0.023,0.477,0.819,0.013,0.607,0.042,0.021,0.8
SR-p53,32,0.181,0.7,0.03,0.439,0.704,0.029,0.323,0.749,0.032,0.45,0.048,0.014,1.0
MACRO,327,,0.757,,0.538,0.679,,0.374,0.766,,0.548,0.009,,
