name,abbr,liver,kidney,smiles,inchikey,connectivity
1% cholesterol + 0.25% sodium cholate,CH+DS-Na,True,False,,,
"2,4-dinitrophenol",DNP,True,False,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,UFBJCMHMOXMLKC-UHFFFAOYSA-N,UFBJCMHMOXMLKC
2-nitrofluorene,2NF,True,False,C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],XFOHWECQTFIEIX-UHFFFAOYSA-N,XFOHWECQTFIEIX
3-methylcholanthrene,3-MC,True,False,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,PPQNQXQZIWHJRB-UHFFFAOYSA-N,PPQNQXQZIWHJRB
acarbose,ACA,True,False,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,CEMXHAPUFJOOSV-XGWNLRGSSA-N,CEMXHAPUFJOOSV
acetamide,AAA,True,False,CC(=O)N,DLFVBJFMPXGRIB-UHFFFAOYSA-N,DLFVBJFMPXGRIB
acetamidofluorene,AAF,True,False,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,CZIHNRWJTSTCEX-UHFFFAOYSA-N,CZIHNRWJTSTCEX
acetaminophen,APAP,True,True,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,RZVAJINKPMORJF
acetazolamide,ACZ,True,True,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,BZKPWHYZMXOIDC
adapin,ADP,True,False,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,ODQWQRRAPPTVAG-GZTJUZNOSA-N,ODQWQRRAPPTVAG
aflatoxin B1,AFB1,True,False,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,OQIQSTLJSLGHID
ajmaline,AJM,True,False,CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C,CJDRUOGAGYHKKD-RQBLFBSQSA-N,CJDRUOGAGYHKKD
allopurinol,APL,True,True,C1=NNC2=C1C(=O)NC=N2,OFCNXPDARWKPPY-UHFFFAOYSA-N,OFCNXPDARWKPPY
allyl alcohol,AA,True,True,C=CCO,XXROGKLTLUQVRX-UHFFFAOYSA-N,XXROGKLTLUQVRX
alpidem,ADM,False,False,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl,JRTIDHTUMYMPRU-UHFFFAOYSA-N,JRTIDHTUMYMPRU
amiodarone,AM,True,False,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ
amitriptyline,AMT,True,False,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,KRMDCWKBEZIMAB
amphotericin B,AMB,True,True,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,APKFDSVGJQXUKY-INPOYWNPSA-N,APKFDSVGJQXUKY
aspirin,ASA,True,False,CC(=O)OC1=CC=CC=C1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ
azathioprine,AZP,True,False,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],LMEKQMALGUDUQG-UHFFFAOYSA-N,LMEKQMALGUDUQG
bendazac,BDZ,True,False,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,BYFMCKSPFYVMOU-UHFFFAOYSA-N,BYFMCKSPFYVMOU
benzbromarone,BBr,True,False,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,WHQCHUCQKNIQEC-UHFFFAOYSA-N,WHQCHUCQKNIQEC
benziodarone,BZD,True,False,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)O)I,CZCHIEJNWPNBDE-UHFFFAOYSA-N,CZCHIEJNWPNBDE
bortezomib,BOR,True,False,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,GXJABQQUPOEUTA
bromobenzene,BBZ,True,True,C1=CC=C(C=C1)Br,QARVLSVVCXYDNA-UHFFFAOYSA-N,QARVLSVVCXYDNA
bromoethylamine,BEA,True,True,C(CBr)N,IZQAUUVBKYXMET-UHFFFAOYSA-N,IZQAUUVBKYXMET
bucetin,BCT,True,True,CCOC1=CC=C(C=C1)NC(=O)CC(C)O,LIAWQASKBFCRNR-UHFFFAOYSA-N,LIAWQASKBFCRNR
buspirone,BPR,False,False,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,QWCRAEMEVRGPNT-UHFFFAOYSA-N,QWCRAEMEVRGPNT
buthionine sulfoximine,BSO,True,False,CCCCS(=N)(=O)CCC(C(=O)O)N,KJQFBVYMGADDTQ-UHFFFAOYSA-N,KJQFBVYMGADDTQ
butylated hydroxyanisole,BHA,True,False,,,
caffeine,CAF,True,True,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N,RYYVLZVUVIJVGH
captopril,CAP,True,True,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,FAKRSMQSSFJEIM-RQJHMYQMSA-N,FAKRSMQSSFJEIM
