compound_name,inchikey,connectivity,in_tggates,tggates_liver,tggates_kidney,in_drugmatrix,cross_platform_replicate,in_tox21,tox21_assays_labelled,tox21_assays_active,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
(+)-Pulegone,NZGWDASTMWDZIW-MRVPVSSYSA-N,NZGWDASTMWDZIW,,,,Y,,Y,8,0,,,0,,,0,0,0,0,0,0,0
(R)-Bicalutamide,LKJPYSCBVHEWIU-KRWDZBQOSA-N,LKJPYSCBVHEWIU,,,,Y,,Y,11,2,0,0,0,0,0,0,,1,0,0,1,0
"1,1-Dichloroethene",LGXVIGDEPROXKC-UHFFFAOYSA-N,LGXVIGDEPROXKC,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichloropropane",CFXQEHVMCRXUSD-UHFFFAOYSA-N,CFXQEHVMCRXUSD,,,,Y,,Y,12,1,0,0,0,0,1,0,0,0,0,0,0,0
"1,4-Dichlorobenzene",OCJBOOLMMGQPQU-UHFFFAOYSA-N,OCJBOOLMMGQPQU,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3,7,8-Tetrachlorodibenzo-P-Dioxin",HGUFODBRKLSHSI-UHFFFAOYSA-N,HGUFODBRKLSHSI,,,,Y,,Y,10,2,0,0,1,,0,0,0,1,0,0,,0
"2,4-Diaminophenol",XIWMTQIUUWJNRP-UHFFFAOYSA-N,XIWMTQIUUWJNRP,,,,Y,,Y,11,1,0,0,0,0,,0,0,0,0,0,1,0
"2,4-dinitrophenol",UFBJCMHMOXMLKC-UHFFFAOYSA-N,UFBJCMHMOXMLKC,Y,Y,,,,Y,7,2,0,,,0,,0,,1,,0,1,0
2-Amino-4-Nitrophenol,VLZVIIYRNMWPSN-UHFFFAOYSA-N,VLZVIIYRNMWPSN,,,,Y,,Y,11,3,0,0,1,,0,0,0,1,0,0,1,0
2-Nitroanisole,CFBYEGUGFPZCNF-UHFFFAOYSA-N,CFBYEGUGFPZCNF,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2-nitrofluorene,XFOHWECQTFIEIX-UHFFFAOYSA-N,XFOHWECQTFIEIX,Y,Y,,,,Y,11,4,0,0,1,,1,0,0,1,0,0,1,0
"3,3'',4'',5-Tetrachlorosalicylanilide",SJQBHPJLLIJASD-UHFFFAOYSA-N,SJQBHPJLLIJASD,,,,Y,,Y,6,4,0,,1,,,,,,0,1,1,1
"3,3'',5-Triiodo-L-Thyronine",AUYYCJSJGJYCDS-LBPRGKRZSA-N,AUYYCJSJGJYCDS,,,,Y,,Y,12,4,0,0,1,0,1,1,0,0,0,0,1,0
3-Acetamidophenol,QLNWXBAGRTUKKI-UHFFFAOYSA-N,QLNWXBAGRTUKKI,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Chloroaniline,PNPCRKVUWYDDST-UHFFFAOYSA-N,PNPCRKVUWYDDST,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
